Date,CO2
1958-03,315.71
1958-04,317.45
1958-05,317.5
1958-06,-99.99
1958-07,315.86
1958-08,314.93
1958-09,313.2
1958-10,-99.99
1958-11,313.33
1958-12,314.67
1959-01,315.62
1959-02,316.38
1959-03,316.71
1959-04,317.72
1959-05,318.29
1959-06,318.15
1959-07,316.54
1959-08,314.8
1959-09,313.84
1959-10,313.26
1959-11,314.8
1959-12,315.58
1960-01,316.43
1960-02,316.97
1960-03,317.58
1960-04,319.02
1960-05,320.03
1960-06,319.59
1960-07,318.18
1960-08,315.91
1960-09,314.16
1960-10,313.83
1960-11,315.0
1960-12,316.19
1961-01,316.93
1961-02,317.7
1961-03,318.54
1961-04,319.48
1961-05,320.58
1961-06,319.77
1961-07,318.57
1961-08,316.79
1961-09,314.8
1961-10,315.38
1961-11,316.1
1961-12,317.01
1962-01,317.94
1962-02,318.56
1962-03,319.68
1962-04,320.63
1962-05,321.01
1962-06,320.55
1962-07,319.58
1962-08,317.4
1962-09,316.26
1962-10,315.42
1962-11,316.69
1962-12,317.69
1963-01,318.74
1963-02,319.08
1963-03,319.86
1963-04,321.39
1963-05,322.25
1963-06,321.47
1963-07,319.74
1963-08,317.77
1963-09,316.21
1963-10,315.99
1963-11,317.12
1963-12,318.31
1964-01,319.57
1964-02,-99.99
1964-03,-99.99
1964-04,-99.99
1964-05,322.25
1964-06,321.89
1964-07,320.44
1964-08,318.7
1964-09,316.7
1964-10,316.79
1964-11,317.79
1964-12,318.71
1965-01,319.44
1965-02,320.44
1965-03,320.89
1965-04,322.13
1965-05,322.16
1965-06,321.87
1965-07,321.39
1965-08,318.81
1965-09,317.81
1965-10,317.3
1965-11,318.87
1965-12,319.42
1966-01,320.62
1966-02,321.59
1966-03,322.39
1966-04,323.87
1966-05,324.01
1966-06,323.75
1966-07,322.39
1966-08,320.37
1966-09,318.64
1966-10,318.1
1966-11,319.79
1966-12,321.08
1967-01,322.07
1967-02,322.5
1967-03,323.04
1967-04,324.42
1967-05,325.0
1967-06,324.09
1967-07,322.55
1967-08,320.92
1967-09,319.31
1967-10,319.31
1967-11,320.72
1967-12,321.96
1968-01,322.57
1968-02,323.15
1968-03,323.89
1968-04,325.02
1968-05,325.57
1968-06,325.36
1968-07,324.14
1968-08,322.03
1968-09,320.41
1968-10,320.25
1968-11,321.31
1968-12,322.84
1969-01,324.0
1969-02,324.42
1969-03,325.64
1969-04,326.66
1969-05,327.34
1969-06,326.76
1969-07,325.88
1969-08,323.67
1969-09,322.38
1969-10,321.78
1969-11,322.85
1969-12,324.11
1970-01,325.03
1970-02,325.99
1970-03,326.87
1970-04,328.13
1970-05,328.07
1970-06,327.66
1970-07,326.35
1970-08,324.69
1970-09,323.1
1970-10,323.16
1970-11,323.98
1970-12,325.13
1971-01,326.17
1971-02,326.68
1971-03,327.18
1971-04,327.78
1971-05,328.92
1971-06,328.57
1971-07,327.34
1971-08,325.46
1971-09,323.36
1971-10,323.57
1971-11,324.8
1971-12,326.01
1972-01,326.77
1972-02,327.63
1972-03,327.75
1972-04,329.72
1972-05,330.07
1972-06,329.09
1972-07,328.05
1972-08,326.32
1972-09,324.93
1972-10,325.06
1972-11,326.5
1972-12,327.55
1973-01,328.54
1973-02,329.56
1973-03,330.3
1973-04,331.5
1973-05,332.48
1973-06,332.07
1973-07,330.87
1973-08,329.31
1973-09,327.51
1973-10,327.18
1973-11,328.16
1973-12,328.64
1974-01,329.35
1974-02,330.71
1974-03,331.48
1974-04,332.65
1974-05,333.2
1974-06,332.16
1974-07,331.07
1974-08,329.12
1974-09,327.32
1974-10,327.28
1974-11,328.3
1974-12,329.58
1975-01,330.73
1975-02,331.46
1975-03,331.9
1975-04,333.17
1975-05,333.94
1975-06,333.45
1975-07,331.98
1975-08,329.95
1975-09,328.5
1975-10,328.35
1975-11,329.37
1975-12,-99.99
1976-01,331.59
1976-02,332.75
1976-03,333.52
1976-04,334.64
1976-05,334.77
1976-06,334.0
1976-07,333.06
1976-08,330.68
1976-09,328.95
1976-10,328.75
1976-11,330.15
1976-12,331.62
1977-01,332.66
1977-02,333.13
1977-03,334.95
1977-04,336.13
1977-05,336.93
1977-06,336.17
1977-07,334.88
1977-08,332.56
1977-09,331.29
1977-10,331.27
1977-11,332.41
1977-12,333.6
1978-01,334.95
1978-02,335.25
1978-03,336.66
1978-04,337.69
1978-05,338.03
1978-06,338.01
1978-07,336.41
1978-08,334.41
1978-09,332.37
1978-10,332.41
1978-11,333.75
1978-12,334.9
1979-01,336.14
1979-02,336.69
1979-03,338.27
1979-04,338.95
1979-05,339.21
1979-06,339.26
1979-07,337.54
1979-08,335.75
1979-09,333.98
1979-10,334.19
1979-11,335.31
1979-12,336.81
1980-01,337.9
1980-02,338.34
1980-03,340.01
1980-04,340.93
1980-05,341.48
1980-06,341.33
1980-07,339.4
1980-08,337.7
1980-09,336.19
1980-10,336.15
1980-11,337.27
1980-12,338.32
1981-01,339.29
1981-02,340.55
1981-03,341.61
1981-04,342.53
1981-05,343.03
1981-06,342.54
1981-07,340.78
1981-08,338.44
1981-09,336.95
1981-10,337.08
1981-11,338.58
1981-12,339.88
1982-01,340.96
1982-02,341.73
1982-03,342.81
1982-04,343.97
1982-05,344.63
1982-06,343.79
1982-07,342.32
1982-08,340.09
1982-09,338.28
1982-10,338.29
1982-11,339.6
1982-12,340.9
1983-01,341.68
1983-02,342.9
1983-03,343.33
1983-04,345.25
1983-05,346.03
1983-06,345.63
1983-07,344.19
1983-08,342.27
1983-09,340.35
1983-10,340.38
1983-11,341.59
1983-12,343.05
1984-01,344.1
1984-02,344.79
1984-03,345.52
1984-04,-99.99
1984-05,347.63
1984-06,346.97
1984-07,345.53
1984-08,343.55
1984-09,341.4
1984-10,341.67
1984-11,343.1
1984-12,344.7
1985-01,345.21
1985-02,346.16
1985-03,347.74
1985-04,348.34
1985-05,349.06
1985-06,348.38
1985-07,346.71
1985-08,345.02
1985-09,343.27
1985-10,343.13
1985-11,344.49
1985-12,345.88
1986-01,346.56
1986-02,347.28
1986-03,348.01
1986-04,349.77
1986-05,350.38
1986-06,349.93
1986-07,348.16
1986-08,346.08
1986-09,345.22
1986-10,344.51
1986-11,345.93
1986-12,347.22
1987-01,348.52
1987-02,348.73
1987-03,349.73
1987-04,351.31
1987-05,352.09
1987-06,351.53
1987-07,350.11
1987-08,348.08
1987-09,346.52
1987-10,346.59
1987-11,347.96
1987-12,349.16
1988-01,350.39
1988-02,351.64
1988-03,352.41
1988-04,353.69
1988-05,354.21
1988-06,353.72
1988-07,352.69
1988-08,350.4
1988-09,348.92
1988-10,349.13
1988-11,350.2
1988-12,351.41
1989-01,352.91
1989-02,353.27
1989-03,353.96
1989-04,355.64
1989-05,355.86
1989-06,355.37
1989-07,353.99
1989-08,351.81
1989-09,350.05
1989-10,350.25
1989-11,351.49
1989-12,352.85
1990-01,353.8
1990-02,355.04
1990-03,355.73
1990-04,356.32
1990-05,357.32
1990-06,356.34
1990-07,354.84
1990-08,353.01
1990-09,351.31
1990-10,351.62
1990-11,353.07
1990-12,354.33
1991-01,354.84
1991-02,355.73
1991-03,357.23
1991-04,358.66
1991-05,359.13
1991-06,358.13
1991-07,356.19
1991-08,353.85
1991-09,352.25
1991-10,352.35
1991-11,353.81
1991-12,355.12
1992-01,356.25
1992-02,357.11
1992-03,357.86
1992-04,359.09
1992-05,359.59
1992-06,359.33
1992-07,357.01
1992-08,354.94
1992-09,352.96
1992-10,353.32
1992-11,354.32
1992-12,355.57
1993-01,357.0
1993-02,357.31
1993-03,358.47
1993-04,359.27
1993-05,360.19
1993-06,359.52
1993-07,357.33
1993-08,355.64
1993-09,354.03
1993-10,354.12
1993-11,355.41
1993-12,356.91
1994-01,358.24
1994-02,358.92
1994-03,359.99
1994-04,361.23
1994-05,361.65
1994-06,360.81
1994-07,359.38
1994-08,357.46
1994-09,355.73
1994-10,356.07
1994-11,357.53
1994-12,358.98
1995-01,359.92
1995-02,360.86
1995-03,361.83
1995-04,363.3
1995-05,363.69
1995-06,363.19
1995-07,361.64
1995-08,359.12
1995-09,358.17
1995-10,357.99
1995-11,359.45
1995-12,360.68
1996-01,362.07
1996-02,363.24
1996-03,364.17
1996-04,364.57
1996-05,365.13
1996-06,364.92
1996-07,363.55
1996-08,361.38
1996-09,359.54
1996-10,359.58
1996-11,360.89
1996-12,362.24
1997-01,363.09
1997-02,364.03
1997-03,364.51
1997-04,366.35
1997-05,366.64
1997-06,365.59
1997-07,364.31
1997-08,362.25
1997-09,360.29
1997-10,360.82
1997-11,362.49
1997-12,364.38
1998-01,365.26
1998-02,365.98
1998-03,367.24
1998-04,368.66
