Date,GMSL
1880-01,-183.0
1880-02,-171.1
1880-03,-164.3
1880-04,-158.2
1880-05,-158.7
1880-06,-159.6
1880-07,-159.6
1880-08,-161.8
1880-09,-158.9
1880-10,-150.3
1880-11,-144.5
1880-12,-134.7
1881-01,-136.4
1881-02,-139.2
1881-03,-145.2
1881-04,-151.1
1881-05,-152.2
1881-06,-154.2
1881-07,-147.7
1881-08,-151.4
1881-09,-156.0
1881-10,-165.5
1881-11,-167.9
1881-12,-169.9
1882-01,-167.8
1882-02,-162.0
1882-03,-158.8
1882-04,-160.6
1882-05,-164.5
1882-06,-165.2
1882-07,-167.3
1882-08,-169.0
1882-09,-174.9
1882-10,-181.5
1882-11,-182.5
1882-12,-184.5
1883-01,-179.9
1883-02,-180.0
1883-03,-172.4
1883-04,-172.3
1883-05,-164.0
1883-06,-163.6
1883-07,-161.1
1883-08,-162.0
1883-09,-159.3
1883-10,-158.2
1883-11,-153.2
1883-12,-149.1
1884-01,-142.5
1884-02,-139.5
1884-03,-137.0
1884-04,-135.2
1884-05,-136.0
1884-06,-140.0
1884-07,-143.3
1884-08,-146.8
1884-09,-150.4
1884-10,-150.4
1884-11,-154.0
1884-12,-149.9
1885-01,-153.1
1885-02,-148.3
1885-03,-145.3
1885-04,-142.7
1885-05,-143.1
1885-06,-142.7
1885-07,-148.4
1885-08,-143.2
1885-09,-146.5
1885-10,-141.2
1885-11,-143.3
1885-12,-145.1
1886-01,-147.3
1886-02,-152.2
1886-03,-146.8
1886-04,-142.0
1886-05,-134.7
1886-06,-135.4
1886-07,-140.8
1886-08,-147.7
1886-09,-155.1
1886-10,-155.2
1886-11,-157.9
1886-12,-155.8
1887-01,-162.2
1887-02,-165.8
1887-03,-162.9
1887-04,-158.8
1887-05,-151.9
1887-06,-147.1
1887-07,-147.3
1887-08,-147.5
1887-09,-150.6
1887-10,-147.5
1887-11,-148.8
1887-12,-148.0
1888-01,-155.3
1888-02,-155.6
1888-03,-155.0
1888-04,-155.2
1888-05,-154.2
1888-06,-151.6
1888-07,-149.0
1888-08,-148.5
1888-09,-151.5
1888-10,-145.0
1888-11,-146.0
1888-12,-146.0
1889-01,-151.1
1889-02,-147.4
1889-03,-144.3
1889-04,-145.0
1889-05,-145.9
1889-06,-145.8
1889-07,-147.0
1889-08,-147.6
1889-09,-151.3
1889-10,-153.8
1889-11,-157.6
1889-12,-157.2
1890-01,-152.3
1890-02,-151.4
1890-03,-140.0
1890-04,-138.1
1890-05,-135.3
1890-06,-140.2
1890-07,-144.2
1890-08,-147.8
1890-09,-149.4
1890-10,-151.8
1890-11,-155.9
1890-12,-163.9
1891-01,-162.9
1891-02,-163.9
1891-03,-148.1
1891-04,-150.8
1891-05,-145.4
1891-06,-148.4
1891-07,-143.8
1891-08,-142.2
1891-09,-143.2
1891-10,-144.5
1891-11,-148.2
1891-12,-148.8
1892-01,-145.8
1892-02,-139.3
1892-03,-139.8
1892-04,-138.6
1892-05,-143.1
1892-06,-141.6
1892-07,-145.8
1892-08,-146.6
1892-09,-151.7
1892-10,-151.5
1892-11,-156.3
1892-12,-152.4
1893-01,-147.5
1893-02,-143.8
1893-03,-136.7
1893-04,-137.9
1893-05,-139.2
1893-06,-140.5
1893-07,-140.7
1893-08,-139.0
1893-09,-139.0
1893-10,-140.6
1893-11,-145.1
1893-12,-145.6
1894-01,-148.4
1894-02,-147.5
1894-03,-149.9
1894-04,-148.9
1894-05,-152.1
1894-06,-152.7
1894-07,-154.5
1894-08,-154.7
1894-09,-157.6
1894-10,-153.3
1894-11,-151.4
1894-12,-140.8
1895-01,-138.9
1895-02,-134.9
1895-03,-140.0
1895-04,-141.4
1895-05,-148.0
1895-06,-142.3
1895-07,-141.0
1895-08,-137.4
1895-09,-139.4
1895-10,-132.3
1895-11,-135.8
1895-12,-138.8
1896-01,-148.4
1896-02,-158.4
1896-03,-155.4
1896-04,-150.4
1896-05,-144.1
1896-06,-135.3
1896-07,-138.0
1896-08,-138.9
1896-09,-144.2
1896-10,-146.9
1896-11,-149.7
1896-12,-152.1
1897-01,-149.5
1897-02,-149.8
1897-03,-143.9
1897-04,-142.2
1897-05,-132.6
1897-06,-130.8
1897-07,-127.1
1897-08,-129.8
1897-09,-136.5
1897-10,-143.5
1897-11,-158.1
1897-12,-155.5
1898-01,-149.0
1898-02,-134.5
1898-03,-126.6
1898-04,-124.9
1898-05,-123.6
1898-06,-129.7
1898-07,-133.4
1898-08,-139.5
1898-09,-137.4
1898-10,-132.3
1898-11,-128.4
1898-12,-127.3
1899-01,-126.7
1899-02,-129.0
1899-03,-128.0
1899-04,-125.0
1899-05,-127.9
1899-06,-128.6
1899-07,-131.9
1899-08,-125.8
1899-09,-120.1
1899-10,-114.3
1899-11,-117.1
1899-12,-122.5
1900-01,-128.9
1900-02,-130.8
1900-03,-129.5
1900-04,-129.8
1900-05,-127.3
1900-06,-128.2
1900-07,-130.5
1900-08,-128.7
1900-09,-135.1
1900-10,-130.2
1900-11,-132.1
1900-12,-130.1
1901-01,-132.8
1901-02,-134.7
1901-03,-135.0
1901-04,-131.0
1901-05,-135.0
1901-06,-133.7
1901-07,-136.2
1901-08,-131.0
1901-09,-127.0
1901-10,-124.1
1901-11,-122.6
1901-12,-123.3
1902-01,-122.6
1902-02,-122.1
1902-03,-123.3
1902-04,-128.0
1902-05,-132.3
1902-06,-132.9
1902-07,-131.7
1902-08,-127.8
1902-09,-124.4
1902-10,-121.8
1902-11,-121.3
1902-12,-122.8
1903-01,-121.2
1903-02,-121.7
1903-03,-115.0
1903-04,-110.3
1903-05,-109.8
1903-06,-110.6
1903-07,-116.2
1903-08,-119.5
1903-09,-123.6
1903-10,-120.6
1903-11,-124.2
1903-12,-121.5
1904-01,-125.9
1904-02,-118.2
1904-03,-122.9
1904-04,-123.3
1904-05,-128.3
1904-06,-126.6
1904-07,-130.2
1904-08,-131.2
1904-09,-132.6
1904-10,-131.6
1904-11,-132.3
1904-12,-134.8
1905-01,-138.0
1905-02,-140.1
1905-03,-139.6
1905-04,-138.1
1905-05,-136.0
1905-06,-134.4
1905-07,-132.0
1905-08,-128.1
1905-09,-125.4
1905-10,-127.6
1905-11,-130.7
1905-12,-134.8
1906-01,-131.8
1906-02,-129.5
1906-03,-128.1
1906-04,-128.9
1906-05,-125.5
1906-06,-124.1
1906-07,-122.3
1906-08,-125.4
1906-09,-124.9
1906-10,-125.7
1906-11,-127.6
1906-12,-128.8
1907-01,-129.5
1907-02,-126.4
1907-03,-125.2
1907-04,-122.8
1907-05,-125.1
1907-06,-123.2
1907-07,-126.4
1907-08,-123.8
1907-09,-131.7
1907-10,-133.1
1907-11,-137.6
1907-12,-134.5
1908-01,-131.1
1908-02,-129.1
1908-03,-129.2
1908-04,-131.4
1908-05,-132.5
1908-06,-127.9
1908-07,-127.3
1908-08,-124.9
1908-09,-130.1
1908-10,-134.3
1908-11,-136.3
1908-12,-135.4
1909-01,-127.7
1909-02,-125.1
1909-03,-120.6
1909-04,-123.4
1909-05,-126.2
1909-06,-130.8
1909-07,-129.0
1909-08,-129.8
1909-09,-126.3
1909-10,-126.4
1909-11,-124.5
1909-12,-125.9
1910-01,-127.3
1910-02,-130.6
1910-03,-129.9
1910-04,-129.5
1910-05,-124.7
1910-06,-124.0
1910-07,-121.8
1910-08,-124.4
1910-09,-124.4
1910-10,-126.4
1910-11,-126.6
1910-12,-127.4
1911-01,-127.4
1911-02,-123.9
1911-03,-121.1
1911-04,-120.6
1911-05,-121.8
1911-06,-121.2
1911-07,-120.1
1911-08,-114.1
1911-09,-111.2
1911-10,-108.1
1911-11,-112.7
1911-12,-114.5
1912-01,-121.9
1912-02,-123.7
1912-03,-127.2
1912-04,-127.1
1912-05,-126.0
1912-06,-120.7
1912-07,-119.9
1912-08,-118.6
1912-09,-119.1
1912-10,-118.7
1912-11,-116.7
1912-12,-114.4
1913-01,-119.8
1913-02,-123.2
1913-03,-128.2
1913-04,-127.7
1913-05,-126.0
1913-06,-120.7
1913-07,-117.2
1913-08,-114.3
1913-09,-114.0
1913-10,-114.8
1913-11,-110.8
1913-12,-116.0
1914-01,-110.9
1914-02,-117.0
1914-03,-115.3
1914-04,-118.1
1914-05,-116.8
1914-06,-119.9
1914-07,-119.7
1914-08,-122.5
1914-09,-117.0
1914-10,-111.8
1914-11,-99.0
1914-12,-88.6
1915-01,-83.7
1915-02,-85.2
1915-03,-93.1
1915-04,-102.3
1915-05,-108.5
1915-06,-111.1
1915-07,-113.6
1915-08,-114.4
1915-09,-115.4
1915-10,-115.2
1915-11,-109.7
1915-12,-110.0
1916-01,-103.7
1916-02,-106.3
1916-03,-101.1
1916-04,-104.1
1916-05,-102.8
1916-06,-108.0
1916-07,-111.7
1916-08,-115.9
1916-09,-113.6
1916-10,-111.7
1916-11,-103.8
1916-12,-102.7
1917-01,-102.8
1917-02,-109.1
1917-03,-112.4
1917-04,-115.9
1917-05,-115.1
1917-06,-113.9
1917-07,-110.1
1917-08,-110.7
1917-09,-111.5
1917-10,-113.1
1917-11,-113.7
1917-12,-111.3
1918-01,-109.7
1918-02,-113.5
1918-03,-115.2
1918-04,-117.1
1918-05,-114.6
1918-06,-112.7
1918-07,-112.1
1918-08,-113.6
1918-09,-109.9
1918-10,-112.0
1918-11,-111.8
1918-12,-116.4
1919-01,-118.1
1919-02,-119.9
1919-03,-118.3
1919-04,-115.4
1919-05,-112.7
1919-06,-106.2
1919-07,-107.0
1919-08,-103.5
1919-09,-105.2
1919-10,-108.5
1919-11,-109.9
1919-12,-114.4
1920-01,-114.9
1920-02,-116.9
1920-03,-116.2
1920-04,-112.1
1920-05,-107.4
1920-06,-103.6
1920-07,-103.2
1920-08,-106.0
1920-09,-109.6
1920-10,-110.8
1920-11,-112.2
1920-12,-110.1
1921-01,-110.0
1921-02,-106.9
1921-03,-105.5
1921-04,-104.1
1921-05,-102.1
1921-06,-103.5
1921-07,-105.1
1921-08,-111.3
1921-09,-114.2
1921-10,-113.1
1921-11,-113.6
1921-12,-109.4
1922-01,-111.0
1922-02,-106.7
1922-03,-108.0
1922-04,-107.0
1922-05,-105.9
1922-06,-106.2
1922-07,-111.3
1922-08,-114.7
1922-09,-116.4
1922-10,-112.5
1922-11,-106.6
1922-12,-103.2
1923-01,-104.6
1923-02,-109.2
1923-03,-107.9
1923-04,-103.6
1923-05,-99.3
1923-06,-101.9
1923-07,-107.5
1923-08,-110.5
1923-09,-110.5
1923-10,-109.7
1923-11,-113.9
1923-12,-116.7
1924-01,-118.0
1924-02,-112.7
1924-03,-113.4
1924-04,-111.8
1924-05,-115.2
1924-06,-115.3
1924-07,-116.8
1924-08,-116.1
1924-09,-115.6
1924-10,-115.7
1924-11,-117.0
1924-12,-115.2
1925-01,-112.3
1925-02,-110.6
1925-03,-112.5
1925-04,-115.3
1925-05,-114.8
1925-06,-115.0
1925-07,-115.3
1925-08,-116.3
1925-09,-115.0
1925-10,-112.9
1925-11,-110.9
1925-12,-107.4
1926-01,-111.3
1926-02,-112.2
1926-03,-115.4
1926-04,-112.3
1926-05,-110.3
1926-06,-107.7
1926-07,-104.5
1926-08,-97.9
1926-09,-97.2
1926-10,-96.3
1926-11,-105.8
1926-12,-109.4
1927-01,-113.4
1927-02,-109.1
1927-03,-107.2
1927-04,-104.9
1927-05,-105.3
1927-06,-104.5
1927-07,-106.3
1927-08,-103.7
1927-09,-109.6
1927-10,-106.9
1927-11,-110.7
1927-12,-111.5
1928-01,-117.7
1928-02,-117.6
1928-03,-115.7
1928-04,-110.4
1928-05,-108.9
1928-06,-106.3
1928-07,-106.0
1928-08,-105.6
1928-09,-106.1
1928-10,-111.2
1928-11,-115.6
1928-12,-118.7
1929-01,-120.8
1929-02,-115.8
1929-03,-113.3
1929-04,-107.4
1929-05,-109.9
1929-06,-106.1
1929-07,-106.0
1929-08,-106.4
1929-09,-107.0
1929-10,-109.4
1929-11,-109.2
1929-12,-112.1
1930-01,-110.8
1930-02,-112.3
1930-03,-112.3
1930-04,-114.3
1930-05,-112.7
1930-06,-105.7
1930-07,-98.2
1930-08,-96.1
1930-09,-98.5
1930-10,-101.5
1930-11,-105.6
1930-12,-107.8
1931-01,-106.9
1931-02,-109.1
1931-03,-106.6
1931-04,-108.5
1931-05,-106.4
1931-06,-105.9
1931-07,-101.9
1931-08,-103.7
1931-09,-106.0
1931-10,-109.0
1931-11,-109.9
1931-12,-106.5
1932-01,-104.1
1932-02,-100.8
1932-03,-101.8
1932-04,-100.5
1932-05,-102.2
1932-06,-102.3
1932-07,-101.5
1932-08,-102.9
1932-09,-100.3
1932-10,-100.7
1932-11,-98.2
1932-12,-97.1
1933-01,-93.8
1933-02,-93.0
1933-03,-92.4
1933-04,-92.6
1933-05,-95.2
1933-06,-94.5
1933-07,-99.0
1933-08,-97.7
1933-09,-99.0
1933-10,-98.7
1933-11,-102.2
1933-12,-102.2
1934-01,-101.5
1934-02,-99.1
1934-03,-96.7
1934-04,-97.8
1934-05,-98.7
1934-06,-102.7
1934-07,-103.3
1934-08,-107.3
1934-09,-105.8
1934-10,-108.5
1934-11,-102.6
1934-12,-100.5
1935-01,-95.5
1935-02,-93.3
1935-03,-92.9
1935-04,-91.7
1935-05,-95.0
1935-06,-94.3
1935-07,-95.3
1935-08,-96.1
1935-09,-98.4
1935-10,-101.3
1935-11,-102.8
1935-12,-101.0
1936-01,-97.1
1936-02,-94.7
1936-03,-99.2
1936-04,-102.5
1936-05,-104.4
1936-06,-101.9
1936-07,-102.9
1936-08,-100.9
1936-09,-103.6
1936-10,-99.3
1936-11,-100.6
1936-12,-97.6
1937-01,-98.9
1937-02,-93.9
1937-03,-95.5
1937-04,-93.5
1937-05,-94.9
1937-06,-96.9
1937-07,-96.6
1937-08,-97.4
1937-09,-93.9
1937-10,-93.4
1937-11,-91.5
1937-12,-89.9
1938-01,-87.7
1938-02,-86.4
1938-03,-85.9
1938-04,-88.0
1938-05,-93.7
1938-06,-96.8
1938-07,-101.3
1938-08,-97.8
1938-09,-96.1
1938-10,-90.7
1938-11,-89.9
1938-12,-90.6
1939-01,-90.0
1939-02,-94.4
1939-03,-91.8
1939-04,-89.7
1939-05,-84.4
1939-06,-77.7
1939-07,-77.6
1939-08,-80.4
1939-09,-86.9
1939-10,-91.0
1939-11,-89.4
1939-12,-89.2
1940-01,-88.3
1940-02,-89.5
1940-03,-91.2
1940-04,-95.9
1940-05,-96.6
1940-06,-101.0
1940-07,-99.1
1940-08,-96.2
1940-09,-92.2
1940-10,-87.9
1940-11,-84.7
1940-12,-83.7
1941-01,-84.4
1941-02,-81.2
1941-03,-80.8
1941-04,-79.4
1941-05,-81.3
1941-06,-81.3
1941-07,-78.3
1941-08,-73.9
1941-09,-74.4
1941-10,-77.8
1941-11,-83.5
1941-12,-83.6
1942-01,-85.2
1942-02,-84.2
1942-03,-85.5
1942-04,-86.0
1942-05,-84.8
1942-06,-81.8
1942-07,-78.4
1942-08,-75.4
1942-09,-73.5
1942-10,-74.4
1942-11,-74.5
1942-12,-76.9
1943-01,-74.4
1943-02,-73.6
1943-03,-74.1
1943-04,-74.3
1943-05,-78.4
1943-06,-78.2
1943-07,-82.3
1943-08,-82.8
1943-09,-84.2
1943-10,-84.9
1943-11,-86.1
1943-12,-86.7
1944-01,-83.2
1944-02,-77.1
1944-03,-74.4
1944-04,-79.0
1944-05,-86.3
1944-06,-92.1
1944-07,-94.9
1944-08,-95.1
1944-09,-93.2
1944-10,-90.2
1944-11,-86.5
1944-12,-85.3
1945-01,-84.3
1945-02,-84.6
1945-03,-85.4
1945-04,-84.1
1945-05,-82.8
1945-06,-78.8
1945-07,-82.8
1945-08,-83.0
1945-09,-87.3
1945-10,-84.8
1945-11,-84.5
1945-12,-81.2
1946-01,-82.3
1946-02,-78.4
1946-03,-79.2
1946-04,-75.3
1946-05,-72.8
1946-06,-69.8
1946-07,-68.5
1946-08,-71.0
1946-09,-74.9
1946-10,-78.4
1946-11,-81.0
1946-12,-81.7
1947-01,-82.3
1947-02,-80.1
1947-03,-77.5
1947-04,-79.8
1947-05,-79.2
1947-06,-77.2
1947-07,-74.5
1947-08,-71.9
1947-09,-68.5
1947-10,-64.0
1947-11,-59.3
1947-12,-61.0
1948-01,-63.9
1948-02,-68.4
1948-03,-70.5
1948-04,-70.5
1948-05,-69.2
1948-06,-69.3
1948-07,-67.7
1948-08,-69.7
1948-09,-68.3
1948-10,-68.7
1948-11,-66.8
1948-12,-65.6
1949-01,-64.0
1949-02,-63.6
1949-03,-67.2
1949-04,-69.8
1949-05,-71.9
1949-06,-72.2
1949-07,-73.3
1949-08,-72.0
1949-09,-73.4
1949-10,-69.7
1949-11,-69.2
1949-12,-67.7
1950-01,-69.6
1950-02,-70.8
1950-03,-70.9
1950-04,-68.8
1950-05,-68.3
1950-06,-67.9
1950-07,-68.5
1950-08,-69.2
1950-09,-67.5
1950-10,-64.7
1950-11,-61.9
1950-12,-59.5
1951-01,-60.9
1951-02,-56.9
1951-03,-51.6
1951-04,-51.0
1951-05,-50.7
1951-06,-55.8
1951-07,-59.4
1951-08,-63.0
1951-09,-61.7
1951-10,-61.6
1951-11,-59.8
1951-12,-61.6
1952-01,-62.2
1952-02,-62.7
1952-03,-64.4
1952-04,-64.2
1952-05,-63.6
1952-06,-61.1
1952-07,-62.2
1952-08,-61.4
1952-09,-59.1
1952-10,-57.8
1952-11,-53.2
1952-12,-52.7
1953-01,-53.1
1953-02,-56.0
1953-03,-57.8
1953-04,-55.8
1953-05,-52.5
1953-06,-49.9
1953-07,-52.4
1953-08,-55.0
1953-09,-57.6
1953-10,-59.8
1953-11,-60.5
1953-12,-61.2
1954-01,-59.0
1954-02,-57.6
1954-03,-56.9
1954-04,-59.2
1954-05,-58.9
1954-06,-61.8
1954-07,-64.4
1954-08,-65.2
1954-09,-62.9
1954-10,-58.0
1954-11,-52.8
1954-12,-50.5
1955-01,-48.8
1955-02,-49.1
1955-03,-52.4
1955-04,-56.5
1955-05,-61.2
1955-06,-64.2
1955-07,-66.3
1955-08,-63.1
1955-09,-62.0
1955-10,-57.5
1955-11,-57.0
1955-12,-57.6
1956-01,-58.6
1956-02,-62.2
1956-03,-61.4
1956-04,-58.5
1956-05,-58.5
1956-06,-60.0
1956-07,-64.9
1956-08,-66.1
1956-09,-66.8
1956-10,-67.2
1956-11,-67.3
1956-12,-65.9
1957-01,-61.3
1957-02,-53.1
1957-03,-48.9
1957-04,-47.2
1957-05,-45.5
1957-06,-45.4
1957-07,-45.7
1957-08,-48.8
1957-09,-49.6
1957-10,-50.7
1957-11,-49.5
1957-12,-50.5
1958-01,-48.5
1958-02,-49.0
1958-03,-48.9
1958-04,-51.4
1958-05,-50.9
1958-06,-51.0
1958-07,-49.8
1958-08,-49.2
1958-09,-47.9
1958-10,-45.6
1958-11,-44.2
1958-12,-43.3
1959-01,-45.4
1959-02,-48.7
1959-03,-50.8
1959-04,-50.1
1959-05,-49.7
1959-06,-48.3
1959-07,-48.0
1959-08,-45.6
1959-09,-46.6
1959-10,-45.0
1959-11,-49.4
1959-12,-48.6
1960-01,-48.9
1960-02,-44.9
1960-03,-45.1
1960-04,-43.1
1960-05,-42.5
1960-06,-42.9
1960-07,-44.1
1960-08,-44.9
1960-09,-45.4
1960-10,-44.7
1960-11,-43.9
1960-12,-40.8
1961-01,-38.0
1961-02,-33.2
1961-03,-32.8
1961-04,-32.4
1961-05,-34.8
1961-06,-36.9
1961-07,-37.8
1961-08,-38.8
1961-09,-40.0
1961-10,-43.1
1961-11,-45.1
1961-12,-44.2
1962-01,-44.3
1962-02,-42.8
1962-03,-44.1
1962-04,-44.6
1962-05,-45.4
1962-06,-45.1
1962-07,-46.6
1962-08,-43.7
1962-09,-42.3
1962-10,-39.1
1962-11,-40.1
1962-12,-41.7
1963-01,-40.5
1963-02,-40.7
1963-03,-40.8
1963-04,-42.8
1963-05,-44.2
1963-06,-45.7
1963-07,-47.0
1963-08,-48.3
1963-09,-45.9
1963-10,-47.1
1963-11,-45.3
1963-12,-50.8
1964-01,-55.0
1964-02,-59.3
1964-03,-60.2
1964-04,-60.7
1964-05,-56.2
1964-06,-50.8
1964-07,-46.8
1964-08,-46.6
1964-09,-48.5
1964-10,-51.3
1964-11,-50.8
1964-12,-47.7
1965-01,-43.3
1965-02,-38.8
1965-03,-40.8
1965-04,-44.0
1965-05,-47.6
1965-06,-46.7
1965-07,-43.5
1965-08,-40.0
1965-09,-36.6
1965-10,-38.2
1965-11,-38.7
1965-12,-40.3
1966-01,-40.9
1966-02,-42.9
1966-03,-45.4
1966-04,-47.5
1966-05,-48.6
1966-06,-48.9
1966-07,-47.1
1966-08,-46.7
1966-09,-46.7
1966-10,-48.1
1966-11,-51.5
1966-12,-49.3
